DARKO VISKOVIÆ PR DOLCE VITA;;;Lager;;;;
PAVLA VUJISIÆA 44 BEOGRAD (ZEMUN);;;"magacin: mp1
cena: nabavna";;;;
PIB:111565745;;;;;;;
;;;;;;;
Šifra;Naziv;J.M.;Ulaz;Izlaz;Stanje;Cena;Vrednost
122209;Folija za zastitu ekrana GLASS za Samsung A749F Galaxy A7 2018;;1;0;1;73,78;73,78
122262;Futrola GENTLE COLOR za Iphone XS Max crna;KOM;1;0;1;170,24;170,24
122311;Futrola ULTRA TANKI PROTECT silikon za Samsung J415F Galaxy J4 Plus providna (be;;2;0;2;111,45;222,90
122642;Futrola GENTLE COLOR za Huawei Honor 8X crna;KOM;1;0;1;119,16;119,16
122646;Futrola GENTLE COLOR za Samsung A749F Galaxy A7 2018 crna;KOM;1;0;1;170,24;170,24
122733;Futrola ULTRA TANKI PROTECT silikon za Huawei Mate 20 Pro providna (bela);;2;0;2;111,70;223,39
122749;Ranac KONFULON BP-02 sivi;;1;0;1;1.512,61;1.512,61
123212;Futrola ULTRA TANKI PROTECT silikon za Samsung J415F Galaxy J4 Plus siva;;1;0;1;111,45;111,45
123213;Futrola ULTRA TANKI PROTECT silikon za Nokia 5.1 Plus/X5 providna (bela);;1;0;1;111,45;111,45
123570;Futrola GENTLE COLOR za Nokia 5.1 Plus/X5 crna;KOM;1;0;1;119,16;119,16
124021;Futrola silikon GLITTER SHOW YOURSELF za Huawei Mate 20 lite srebrna;KOM;1;0;1;238,34;238,34
124031;Futrola silikon GLITTER SHOW YOURSELF za Iphone XR srebrna;KOM;1;0;1;238,34;238,34
124040;Futrola silikon GLITTER SHOW YOURSELF za Samsung J415F Galaxy J4 Plus srebrna;KOM;1;0;1;238,34;238,34
124054;Futrola DOUBLE GLITTER za Huawei Mate 20 lite plavo/ljubicasta;KOM;1;0;1;181,50;181,50
124732;Futrola NILLKIN super frost za Huawei Mate 20 Pro crna;KOM;1;0;1;498,52;498,52
125434;Futrola GENTLE COLOR za Huawei P20 Lite ljubicasta;KOM;1;0;1;119,16;119,16
125441;Futrola GENTLE COLOR za Iphone 6G/6S ljubicasta;KOM;1;0;1;170,24;170,24
125443;Futrola GENTLE COLOR za Iphone 7/8 ljubicasta;KOM;1;0;1;170,24;170,24
125447;Futrola GENTLE COLOR za Samsung J330F Galaxy J3 2017 (EU) ljubicasta;KOM;1;0;1;119,16;119,16
125448;Futrola GENTLE COLOR za Samsung J415F Galaxy J4 Plus ljubicasta;KOM;1;0;1;119,16;119,16
126594;Futrola ULTRA TANKI PROTECT silikon za Samsung G975F Galaxy S10 Plus providna (b;;2;0;2;111,69;223,38
126908;Futrola ULTRA TANKI PROTECT silikon za Huawei P30 providna (bela);;2;0;2;161,18;322,37
126909;Futrola ULTRA TANKI PROTECT silikon za Huawei P30 Pro providna (bela);;3;0;3;161,18;483,55
126910;Futrola ULTRA TANKI PROTECT silikon za Samsung G973F Galaxy S10 providna (bela);;2;0;2;111,69;223,38
126911;Futrola ULTRA TANKI PROTECT silikon za Samsung G970F Galaxy S10e providna (bela);;2;0;2;111,69;223,38
126912;Futrola ULTRA TANKI PROTECT silikon za Samsung G970F Galaxy S10e siva;;2;0;2;111,45;222,90
127777;Fut CLEAR VIEW P Smart 19 ljub;;1;0;1;504,14;504,14
127800;Futrola BI FOLD HANMAN za Huawei Honor 10 Lite/P Smart 2019 crna;KOM;1;0;1;425,57;425,57
127829;Futrola BI FOLD Ihave Gentleman za Huawei Mate 20 Pro crna;KOM;1;0;1;363,00;363,00
127894;Futrola BI FOLD Ihave Gentleman za Iphone XR crna;KOM;1;0;1;393,25;393,25
127899;Futrola BI FOLD Ihave Gentleman za Iphone XS Max crna;KOM;1;0;1;393,25;393,25
127974;Futrola BI FOLD Ihave Gentleman za Samsung G960F Galaxy S9 crna;KOM;1;0;1;393,25;393,25
